PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4288	chr19	18577185	18577538	+	0	NA	Intergenic	Intergenic	54452	Ostf1	Ostf1	NM_017375			Ostf1			NA
Interval_1343	chr18	38778115	38778657	+	0	NA	Intergenic	Intergenic	64063	Gm19774	Gm19774	NM_001370889			Gm19774			NA
Interval_3642	chr19	5558190	5558425	+	0	NA	intron (Ovol1, intron 1 of 3)	-intron (Ovol1, intron 1 of 3)	2268	Ovol1	Ovol1	NM_019935			Ovol1			NA
Interval_6069	chr19	57255108	57255392	+	0	NA	intron (Ablim1, intron 1 of 20)	-intron (Ablim1, intron 1 of 20)	-18710	4930449E18Rik	4930449E18Rik	NR_045319			4930449E18Rik			NA
Interval_3666	chr19	5786425	5787632	+	0	NA	Intergenic	Intergenic	8953	Mascrna	Mascrna	NR_144621			Mascrna			NA
Interval_557	chr18	16681960	16682397	+	0	NA	intron (Cdh2, intron 2 of 15)	-intron (Cdh2, intron 2 of 15)	127068	Cdh2	Cdh2	NM_007664			Cdh2			NA
Interval_2287	chr18	64482523	64482871	+	0	NA	intron (Fech, intron 1 of 9)	-intron (Fech, intron 1 of 9)	6401	Fech	Fech	NM_001348055			Fech			NA
Interval_2515	chr18	68194399	68195619	+	0	NA	intron (Ldlrad4, intron 3 of 5)	-intron (Ldlrad4, intron 3 of 5)	65964	Mir7219	Mir7219	NR_106078			Mir7219			NA
Interval_4217	chr19	16804443	16805319	+	0	NA	Intergenic	Intergenic	-23948	Vps13a	Vps13a	NM_173028			Vps13a			NA
Interval_4078	chr19	11995923	11996404	+	0	NA	Intergenic	Intergenic	30319	Osbp	Osbp	NM_001033174			Osbp			NA
Interval_1000	chr18	32836677	32838036	+	0	NA	promoter-TSS (4930455D15Rik)	-promoter-TSS (4930455D15Rik)	-69	4930455D15Rik	4930455D15Rik	NR_045381			4930455D15Rik			NA
Interval_3864	chr19	8602774	8603428	+	0	NA	intron (Slc22a8, intron 3 of 11)	-intron (Slc22a8, intron 2 of 10)	11847	Slc22a8	Slc22a8	NM_031194			Slc22a8			NA
Interval_974	chr18	32162385	32163767	+	0	NA	promoter-TSS (Map3k2)	-promoter-TSS (Map3k2)	-13	Map3k2	Map3k2	NM_011946			Map3k2			NA
Interval_4978	chr19	36519430	36519773	+	0	NA	Intergenic	Intergenic	-35038	Hectd2	Hectd2	NM_172637			Hectd2			NA
Interval_4400	chr19	22554460	22554819	+	0	NA	intron (Trpm3, intron 1 of 26)	-intron (Trpm3, intron 1 of 24)	106431	Trpm3	Trpm3	NM_001362502			Trpm3			NA
Interval_5268	chr19	42306965	42307342	+	0	NA	intron (Crtac1, intron 6 of 14)	-intron (Crtac1, intron 6 of 14)	-26983	Mir3085	Mir3085	NR_037246			Mir3085			NA
Interval_5362	chr19	44292906	44295178	+	0	NA	exon (Scd2, exon 1 of 6)	-exon (Scd2, exon 1 of 6)	366	Scd2	Scd2	NM_009128			Scd2			NA
Interval_5254	chr19	42071837	42072598	+	0	NA	Intergenic	Intergenic	14153	Morn4	Morn4	NM_198108			Morn4			NA
Interval_2510	chr18	68156771	68156994	+	0	NA	intron (Ldlrad4, intron 3 of 5)	-intron (Ldlrad4, intron 3 of 5)	104091	Mir7219	Mir7219	NR_106078			Mir7219			NA
Interval_3670	chr19	5802870	5804163	+	0	NA	promoter-TSS (Malat1)	-promoter-TSS (Malat1)	-844	Malat1	Malat1	NR_002847			Malat1			NA
Interval_4716	chr19	29649754	29650062	+	0	NA	Intergenic	Intergenic	-1493	Ermp1	Ermp1	NM_001081213			Ermp1			NA
Interval_369	chr18	11995618	11996603	+	0	NA	intron (Tmem241, intron 14 of 15)	-intron (Tmem241, intron 13 of 14)	125427	Tmem241	Tmem241	NM_178801			Tmem241			NA
Interval_1050	chr18	34139170	34139417	+	0	NA	Intergenic	Intergenic	-81691	Apc	Apc	NM_001360980			Apc			NA
Interval_1600	chr18	46849984	46850662	+	0	NA	exon (Lvrn, exon 1 of 20)	-exon (Lvrn, exon 1 of 20)	284	Lvrn	Lvrn	NM_029008			Lvrn			NA
Interval_5365	chr19	44311431	44312268	+	0	NA	Intergenic	Intergenic	8678	Mir5114	Mir5114	NR_039574			Mir5114			NA
Interval_5132	chr19	40401230	40401587	+	0	NA	intron (Sorbs1, intron 3 of 28)	-intron (Sorbs1, intron 2 of 22)	112328	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_6016	chr19	56486964	56487263	+	0	NA	TTS (Plekhs1)	-TTS (Plekhs1)	25476	Plekhs1	Plekhs1	NM_001164263			Plekhs1			NA
Interval_1813	chr18	54277595	54278315	+	0	NA	Intergenic	Intergenic	-144340	Redrum	Redrum	NR_040338			Redrum			NA
Interval_4862	chr19	32626741	32627470	+	0	NA	intron (Papss2, intron 1 of 12)	-intron (Papss2, intron 1 of 11)	7100	Papss2	Papss2	NM_001360403			Papss2			NA
Interval_5454	chr19	45312872	45313333	+	0	NA	Intergenic	Intergenic	-50632	Btrc	Btrc	NM_001360120			Btrc			NA
Interval_5001	chr19	36828459	36828781	+	0	NA	Intergenic	Intergenic	-5612	Tnks2	Tnks2	NM_001163635			Tnks2			NA
Interval_6105	chr19	57803044	57803763	+	0	NA	intron (Atrnl1, intron 26 of 28)	-intron (Atrnl1, intron 26 of 28)	192369	Atrnl1	Atrnl1	NM_181415			Atrnl1			NA
Interval_1018	chr18	33527922	33529274	+	0	NA	Intergenic	Intergenic	64435	Gm10549	Gm10549	NR_045415			Gm10549			NA
Interval_1487	chr18	43620613	43620925	+	0	NA	intron (Jakmip2, intron 1 of 21)	-intron (Jakmip2, intron 1 of 21)	67004	Jakmip2	Jakmip2	NM_001163637			Jakmip2			NA
Interval_2285	chr18	64461673	64462095	+	0	NA	intron (Fech, intron 8 of 10)	-intron (Fech, intron 7 of 9)	27214	Fech	Fech	NM_001348055			Fech			NA
Interval_2129	chr18	61331118	61331350	+	0	NA	intron (Ppargc1b, intron 1 of 11)	-intron (Ppargc1b, intron 2 of 12)	66666	Mir378a	Mir378a	NR_029879			Mir378a			NA
Interval_1256	chr18	37822347	37822943	+	0	NA	intron (Pcdhgc5, intron 1 of 3)	-intron (Gm37013, intron 1 of 3)	3099	Pcdhgc5	Pcdhgc5	NM_033583			Pcdhgc5			NA
Interval_4624	chr19	27870899	27871238	+	0	NA	intron (Rfx3, intron 2 of 16)	-intron (Rfx3, intron 4 of 18)	140098	Rfx3	Rfx3	NM_001360358			Rfx3			NA
Interval_27	chr18	4002488	4003684	+	0	NA	Intergenic	Intergenic	-162746	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
Interval_4869	chr19	32755805	32758133	+	0	NA	promoter-TSS (Pten)	-promoter-TSS (Pten)	-608	Pten	Pten	NM_008960			Pten			NA
Interval_4250	chr19	17439596	17439935	+	0	NA	intron (Pcsk5, intron 35 of 37)	-intron (Pcsk5, intron 35 of 37)	45722	Rfk	Rfk	NM_019437			Rfk			NA
Interval_16	chr18	3666186	3667785	+	0	NA	Intergenic	Intergenic	159028	Bambi	Bambi	NM_026505			Bambi			NA
Interval_3662	chr19	5741496	5742731	+	0	NA	exon (Ltbp3, exon 2 of 28)	-exon (Ltbp3, exon 2 of 28)	1213	Ltbp3	Ltbp3	NM_008520			Ltbp3			NA
Interval_1661	chr18	49290514	49291274	+	0	NA	Intergenic	Intergenic	-232395	1700044K03Rik	1700044K03Rik	NR_033785			1700044K03Rik			NA
Interval_5375	chr19	44418678	44419176	+	0	NA	Intergenic	Intergenic	-11218	Scd1	Scd1	NM_009127			Scd1			NA
Interval_934	chr18	31076794	31077633	+	0	NA	intron (Rit2, intron 4 of 4)	-intron (Rit2, intron 4 of 4)	239915	Rit2	Rit2	NM_009065			Rit2			NA
Interval_1329	chr18	38590352	38590638	+	0	NA	exon (Spry4, exon 2 of 2)	-exon (Spry4, exon 2 of 2)	10852	Spry4	Spry4	NM_011898			Spry4			NA
Interval_6176	chr19	59248313	59249120	+	0	NA	Intergenic	Intergenic	-12162	Slc18a2	Slc18a2	NM_172523			Slc18a2			NA
Interval_5983	chr19	55923937	55924292	+	0	NA	intron (Tcf7l2, intron 11 of 11)	-intron (Tcf7l2, intron 11 of 11)	182304	Tcf7l2	Tcf7l2	NM_001142921			Tcf7l2			NA
Interval_3478	chr19	3744195	3744670	+	0	NA	Intergenic	Intergenic	-22989	Kmt5b	Kmt5b	NM_001167886			Kmt5b			NA
Interval_3203	chr18	82770983	82771544	+	0	NA	Intergenic	Intergenic	-12224	2210420H20Rik	2210420H20Rik	NR_045389			2210420H20Rik			NA
Interval_1679	chr18	49775856	49776565	+	0	NA	Intergenic	Intergenic	-20609	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
Interval_2400	chr18	66208073	66208360	+	0	NA	intron (Ccbe1, intron 2 of 10)	-intron (Ccbe1, intron 2 of 10)	11117	Mir694	Mir694	NR_030467			Mir694			NA
Interval_1313	chr18	38384828	38385409	+	0	NA	Intergenic	Intergenic	-33789	Ndfip1	Ndfip1	NM_022996			Ndfip1			NA
Interval_5145	chr19	40513031	40514176	+	0	NA	exon (Sorbs1, exon 1 of 29)	-exon (Sorbs1, exon 1 of 29)	133	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_2454	chr18	67322896	67323133	+	0	NA	exon (B430212C06Rik, exon 4 of 4)	-exon (B430212C06Rik, exon 4 of 4)	-20550	Cidea	Cidea	NM_007702			Cidea			NA
Interval_5546	chr19	46471452	46472177	+	0	NA	intron (Sufu, intron 8 of 11)	-intron (Sufu, intron 8 of 11)	-29834	Trim8	Trim8	NM_053100			Trim8			NA
Interval_3905	chr19	8976357	8976855	+	0	NA	intron (Eef1g, intron 7 of 9)	-intron (Eef1g, intron 7 of 9)	9565	Eef1g	Eef1g	NM_026007			Eef1g			NA
Interval_1198	chr18	36348206	36349373	+	0	NA	promoter-TSS (Cystm1)	-promoter-TSS (Cystm1)	16	Cystm1	Cystm1	NM_001081365			Cystm1			NA
Interval_33	chr18	4095911	4096297	+	0	NA	Intergenic	Intergenic	-69728	Lyzl1	Lyzl1	NM_026092			Lyzl1			NA
Interval_3305	chr18	84520583	84520925	+	0	NA	intron (Zfp407, intron 3 of 8)	-intron (Zfp407, intron 3 of 8)	68750	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_257	chr18	9292896	9293439	+	0	NA	Intergenic	Intergenic	-10358	Gjd4	Gjd4	NM_153086			Gjd4			NA
Interval_215	chr18	7708108	7708387	+	0	NA	Intergenic	Intergenic	-100093	Mpp7	Mpp7	NM_001081287			Mpp7			NA
Interval_5406	chr19	44692614	44693049	+	0	NA	Intergenic	Intergenic	-64075	Pax2	Pax2	NM_001368747			Pax2			NA
Interval_5756	chr19	53003342	53004218	+	0	NA	exon (Xpnpep1, exon 11 of 20)	-exon (Xpnpep1, exon 11 of 20)	6976	Mir6407	Mir6407	NR_105834			Mir6407			NA
Interval_996	chr18	32559312	32560543	+	0	NA	exon (Gypc, exon 1 of 3)	-exon (Gypc, exon 1 of 3)	107	Gypc	Gypc	NM_001048207			Gypc			NA
Interval_2900	chr18	76360584	76360856	+	0	NA	Intergenic	Intergenic	119019	Smad2	Smad2	NM_001252481			Smad2			NA
Interval_6242	chr19	60837467	60838290	+	0	NA	exon (Sfxn4, exon 15 of 15)	-exon (Sfxn4, exon 15 of 15)	23550	Sfxn4	Sfxn4	NM_053198			Sfxn4			NA
Interval_3776	chr19	6941052	6942961	+	0	NA	promoter-TSS (Gpr137)	-promoter-TSS (Gpr137)	145	Bad	Bad	NM_001285453			Bad			NA
Interval_538	chr18	15665153	15665426	+	0	NA	intron (Chst9, intron 2 of 4)	-intron (Chst9, intron 2 of 5)	94868	Chst9	Chst9	NM_199055			Chst9			NA
Interval_805	chr18	24603111	24604295	+	0	NA	promoter-TSS (Elp2)	-promoter-TSS (Elp2)	114	Slc39a6	Slc39a6	NM_139143			Slc39a6			NA
Interval_2539	chr18	68829166	68829521	+	0	NA	Intergenic	Intergenic	89943	Mir6356	Mir6356	NR_105774			Mir6356			NA
Interval_109	chr18	5186220	5187730	+	0	NA	Intergenic	Intergenic	-21244	Gm26682	Gm26682	NR_153824			Gm26682			NA
Interval_3858	chr19	8569374	8569901	+	0	NA	Intergenic	Intergenic	-21617	Slc22a8	Slc22a8	NM_031194			Slc22a8			NA
Interval_58	chr18	4558758	4559294	+	0	NA	Intergenic	Intergenic	-75903	Jcad	Jcad	NM_001081963			Jcad			NA
Interval_1518	chr18	44575607	44576193	+	0	NA	intron (Mcc, intron 3 of 18)	-intron (Mcc, intron 3 of 18)	-85765	A930012L18Rik	A930012L18Rik	NR_026853			A930012L18Rik			NA
Interval_3197	chr18	82718669	82719316	+	0	NA	Intergenic	Intergenic	-1289	Mir5112	Mir5112	NR_039572			Mir5112			NA
Interval_6050	chr19	56996924	56997956	+	0	NA	intron (Afap1l2, intron 1 of 20)	-intron (Afap1l2, intron 2 of 19)	11135	Afap1l2	Afap1l2	NM_001177796			Afap1l2			NA
Interval_5578	chr19	46707263	46708072	+	0	NA	intron (As3mt, intron 1 of 10)	-intron (As3mt, intron 1 of 10)	209	As3mt	As3mt	NM_020577			As3mt			NA
Interval_3915	chr19	9050245	9050910	+	0	NA	intron (Ahnak, intron 6 of 6)	-intron (Ahnak, intron 5 of 5)	37379	Scgb1a1	Scgb1a1	NM_011681			Scgb1a1			NA
Interval_219	chr18	7868461	7870091	+	0	NA	promoter-TSS (Wac)	-promoter-TSS (Wac)	79	Wac	Wac	NM_001360956			Wac			NA
Interval_3937	chr19	9989572	9990315	+	0	NA	intron (Best1, intron 7 of 11)	-intron (Best1, intron 7 of 11)	9343	Fth1	Fth1	NR_073181			Fth1			NA
Interval_4759	chr19	30380264	30381046	+	0	NA	Intergenic	Intergenic	147727	Mbl2	Mbl2	NM_001365058			Mbl2			NA
Interval_1361	chr18	39032163	39033058	+	0	NA	intron (Arhgap26, intron 1 of 22)	-intron (Arhgap26, intron 1 of 21)	39465	Arhgap26	Arhgap26	NM_001374831			Arhgap26			NA
Interval_4424	chr19	23140537	23142240	+	0	NA	exon (Klf9, exon 1 of 2)	-exon (Klf9, exon 1 of 2)	162	Klf9	Klf9	NM_010638			Klf9			NA
Interval_2722	chr18	74004151	74004390	+	0	NA	intron (Mapk4, intron 1 of 5)	-intron (Mapk4, intron 1 of 5)	-13637	D730045A05Rik	D730045A05Rik	NR_045390			D730045A05Rik			NA
Interval_715	chr18	22697034	22697405	+	0	NA	intron (Nol4, intron 9 of 9)	-intron (Nol4, intron 10 of 10)	344462	Nol4	Nol4	NM_001361223			Nol4			NA
Interval_2475	chr18	67592842	67593296	+	0	NA	intron (Spire1, intron 1 of 16)	-intron (Spire1, intron 1 of 16)	17837	Spire1	Spire1	NM_194355			Spire1			NA
Interval_5933	chr19	55496443	55496726	+	0	NA	intron (Vti1a, intron 5 of 7)	-intron (Vti1a, intron 6 of 8)	180527	Vti1a	Vti1a	NM_001360431			Vti1a			NA
Interval_5835	chr19	53703106	53703409	+	0	NA	intron (Rbm20, intron 1 of 13)	-intron (Rbm20, intron 1 of 13)	25951	Rbm20	Rbm20	NM_001170847			Rbm20			NA
Interval_4868	chr19	32723826	32724217	+	0	NA	Intergenic	Intergenic	-11723	Atad1	Atad1	NM_026487			Atad1			NA
Interval_2267	chr18	63769331	63769720	+	0	NA	intron (Wdr7, intron 14 of 26)	-intron (Wdr7, intron 14 of 27)	60830	Wdr7	Wdr7	NM_001014981			Wdr7			NA
Interval_1859	chr18	55042370	55042965	+	0	NA	Intergenic	Intergenic	-52487	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_1653	chr18	48242622	48242914	+	0	NA	Intergenic	Intergenic	197433	Eno1b	Eno1b	NM_001025388			Eno1b			NA
Interval_370	chr18	12018024	12018340	+	0	NA	intron (Tmem241, intron 14 of 15)	-intron (Tmem241, intron 13 of 14)	103355	Tmem241	Tmem241	NM_178801			Tmem241			NA
Interval_3246	chr18	83282677	83283337	+	0	NA	Intergenic	Intergenic	42877	4921531P14Rik	4921531P14Rik	NR_045361			4921531P14Rik			NA
Interval_878	chr18	26014992	26015545	+	0	NA	Intergenic	Intergenic	-261111	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_5899	chr19	55119641	55120034	+	0	NA	intron (Gpam, intron 1 of 22)	-intron (Gpam, intron 1 of 22)	-20360	Gpam	Gpam	NM_001356285			Gpam			NA
Interval_5765	chr19	53058834	53059647	+	0	NA	Intergenic	Intergenic	-17012	1700054A03Rik	1700054A03Rik	NR_045320			1700054A03Rik			NA
Interval_3603	chr19	5050296	5051655	+	0	NA	intron (Rin1, intron 1 of 9)	-intron (Rin1, intron 1 of 9)	160	Rin1	Rin1	NM_001374052			Rin1			NA
Interval_5493	chr19	45736989	45737191	+	0	NA	exon (Fgf8, exon 6 of 6)	-exon (Fgf8, exon 6 of 6)	5794	Fgf8	Fgf8	NM_001166361			Fgf8			NA
Interval_4733	chr19	29925998	29926715	+	0	NA	intron (Il33, intron 1 of 7)	-intron (Il33, intron 1 of 8)	1243	Il33	Il33	NM_001360725			Il33			NA
Interval_3791	chr19	7069742	7070445	+	0	NA	intron (Macrod1, intron 3 of 10)	-intron (Macrod1, intron 3 of 10)	13325	Macrod1	Macrod1	NM_134147			Macrod1			NA
Interval_5860	chr19	53848532	53849154	+	0	NA	intron (Rbm20, intron 9 of 13)	-intron (Rbm20, intron 9 of 13)	-43388	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
Interval_1674	chr18	49642221	49642485	+	0	NA	Intergenic	Intergenic	113248	Dtwd2	Dtwd2	NM_026854			Dtwd2			NA
Interval_5827	chr19	53593393	53593646	+	0	NA	Intergenic	Intergenic	-6877	Smc3	Smc3	NM_007790			Smc3			NA
Interval_1131	chr18	35402070	35402716	+	0	NA	intron (Sil1, intron 3 of 9)	-intron (Sil1, intron 3 of 9)	96532	Sil1	Sil1	NM_001360814			Sil1			NA
Interval_4735	chr19	29948002	29948795	+	0	NA	intron (Il33, intron 1 of 7)	-intron (Il33, intron 1 of 7)	23285	Il33	Il33	NM_001360725			Il33			NA
Interval_2169	chr18	61684760	61685314	+	0	NA	Intergenic	Intergenic	-2898	Il17b	Il17b	NM_019508			Il17b			NA
Interval_416	chr18	12802795	12803348	+	0	NA	intron (Osbpl1a, intron 1 of 11)	-intron (Osbpl1a, intron 4 of 14)	16836	Osbpl1a	Osbpl1a	NR_045524			Osbpl1a			NA
Interval_5281	chr19	42631285	42632029	+	0	NA	Intergenic	Intergenic	-18851	Loxl4	Loxl4	NM_053083			Loxl4			NA
Interval_5360	chr19	44266609	44267600	+	0	NA	Intergenic	Intergenic	-26572	Scd2	Scd2	NM_009128			Scd2			NA
Interval_5844	chr19	53762417	53763149	+	0	NA	intron (Rbm20, intron 1 of 13)	-intron (Rbm20, intron 1 of 13)	85477	Rbm20	Rbm20	NM_001170847			Rbm20			NA
Interval_5867	chr19	53902067	53904186	+	0	NA	promoter-TSS (Pdcd4)	-promoter-TSS (Pdcd4)	10895	Pdcd4	Pdcd4	NM_001168492			Pdcd4			NA
Interval_4434	chr19	23349908	23350145	+	0	NA	intron (Mamdc2, intron 9 of 13)	-intron (Mamdc2, intron 9 of 13)	-76129	Smc5	Smc5	NM_153808			Smc5			NA
Interval_5029	chr19	37375561	37376980	+	0	NA	promoter-TSS (Kif11)	-promoter-TSS (Kif11)	-112	Kif11	Kif11	NM_010615			Kif11			NA
Interval_3486	chr19	3842420	3842689	+	0	NA	Intergenic	Intergenic	8262	Gm51271	Gm51271	NR_162795			Gm51271			NA
Interval_5256	chr19	42089952	42090935	+	0	NA	promoter-TSS (Pi4k2a)	-promoter-TSS (Pi4k2a)	8	Pi4k2a	Pi4k2a	NM_145501			Pi4k2a			NA
Interval_854	chr18	25567793	25568350	+	0	NA	intron (Celf4, intron 2 of 13)	-intron (Celf4, intron 2 of 12)	186086	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_2966	chr18	77820790	77821135	+	0	NA	intron (Pstpip2, intron 1 of 14)	-intron (Pstpip2, intron 1 of 14)	-24572	F830208F22Rik	F830208F22Rik	NR_152167			F830208F22Rik			NA
Interval_114	chr18	5298879	5299609	+	0	NA	intron (Zfp438, intron 1 of 4)	-intron (Zfp438, intron 1 of 4)	35195	Zfp438	Zfp438	NM_178722			Zfp438			NA
Interval_4106	chr19	12762359	12762778	+	0	NA	TTS (Cntf)	-TTS (Cntf)	3064	Cntf	Cntf	NM_170786			Cntf			NA
Interval_1767	chr18	53017110	53017337	+	0	NA	Intergenic	Intergenic	-159069	Snx2	Snx2	NM_026386			Snx2			NA
Interval_962	chr18	31939027	31939487	+	0	NA	intron (Lims2, intron 1 of 9)	-intron (Lims2, intron 1 of 9)	7777	Lims2	Lims2	NM_001365015			Lims2			NA
Interval_1236	chr18	37143393	37144614	+	0	NA	exon (Pcdhac2, exon 1 of 4)	-exon (Pcdhac2, exon 1 of 4)	325	Pcdhac2	Pcdhac2	NM_001003672			Pcdhac2			NA
Interval_5949	chr19	55599561	55600144	+	0	NA	intron (Vti1a, intron 8 of 8)	-intron (Vti1a, intron 8 of 8)	102352	4930552P12Rik	4930552P12Rik	NR_045318			4930552P12Rik			NA
Interval_2407	chr18	66291288	66292333	+	0	NA	promoter-TSS (Ccbe1)	-promoter-TSS (Ccbe1)	28	Ccbe1	Ccbe1	NM_178793			Ccbe1			NA
Interval_385	chr18	12187499	12187741	+	0	NA	intron (Rmc1, intron 14 of 19)	-intron (Rmc1, intron 14 of 19)	18890	Rmc1	Rmc1	NM_029623			Rmc1			NA
Interval_692	chr18	22020326	22020706	+	0	NA	intron (Ccdc178, intron 18 of 22)	-intron (Ccdc178, intron 18 of 22)	150880	Ccdc178	Ccdc178	NM_027616			Ccdc178			NA
Interval_4156	chr19	15828849	15829788	+	0	NA	Intergenic	Intergenic	95741	Psat1	Psat1	NM_177420			Psat1			NA
Interval_5134	chr19	40410236	40410774	+	0	NA	intron (Sorbs1, intron 2 of 28)	-intron (Sorbs1, intron 1 of 22)	103231	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_250	chr18	8966494	8967257	+	0	NA	Intergenic	Intergenic	-245981	Fzd8	Fzd8	NM_008058			Fzd8			NA
Interval_5376	chr19	44438785	44439018	+	0	NA	Intergenic	Intergenic	-31192	Scd1	Scd1	NM_009127			Scd1			NA
Interval_4670	chr19	29047404	29048296	+	0	NA	exon (Ak3, exon 1 of 5)	-exon (Ak3, exon 1 of 5)	111	Ak3	Ak3	NM_021299			Ak3			NA
Interval_1164	chr18	35841422	35841890	+	0	NA	intron (Cxxc5, intron 1 of 2)	-intron (Cxxc5, intron 1 of 2)	11868	Cxxc5	Cxxc5	NM_133687			Cxxc5			NA
Interval_5024	chr19	37232673	37232998	+	0	NA	Intergenic	Intergenic	25290	Marchf5	Marchf5	NM_027314			Marchf5			NA
Interval_4513	chr19	24812162	24812504	+	0	NA	intron (Pgm5, intron 6 of 10)	-intron (Pgm5, intron 6 of 10)	49509	Pgm5	Pgm5	NM_175013			Pgm5			NA
Interval_2272	chr18	63971765	63972019	+	0	NA	intron (Wdr7, intron 25 of 26)	-intron (Wdr7, intron 26 of 27)	263197	Wdr7	Wdr7	NM_001014981			Wdr7			NA
Interval_348	chr18	11470743	11471380	+	0	NA	Intergenic	Intergenic	-162215	Rbbp8	Rbbp8	NM_001081223			Rbbp8			NA
Interval_2744	chr18	74442283	74443099	+	0	NA	promoter-TSS (Myo5b)	-promoter-TSS (Myo5b)	72	Myo5b	Myo5b	NM_201600			Myo5b			NA
Interval_6223	chr19	60339927	60340164	+	0	NA	Intergenic	Intergenic	-113344	Fam204a	Fam204a	NR_152391			Fam204a			NA
Interval_5191	chr19	41347362	41347614	+	0	NA	intron (Pik3ap1, intron 2 of 16)	-intron (Pik3ap1, intron 2 of 16)	37614	Pik3ap1	Pik3ap1	NM_031376			Pik3ap1			NA
Interval_1312	chr18	38379592	38380694	+	0	NA	Intergenic	Intergenic	-38764	Ndfip1	Ndfip1	NM_022996			Ndfip1			NA
Interval_5384	chr19	44511389	44512086	+	0	NA	exon (Wnt8b, exon 6 of 6)	-exon (Wnt8b, exon 6 of 6)	18265	Wnt8b	Wnt8b	NM_011720			Wnt8b			NA
Interval_2773	chr18	74907065	74907752	+	0	NA	Intergenic	Intergenic	53855	Lipg	Lipg	NM_010720			Lipg			NA
Interval_3419	chr18	89050378	89050603	+	0	NA	intron (Rttn, intron 27 of 48)	-intron (Rttn, intron 27 of 48)	78460	Mir6359	Mir6359	NR_105777			Mir6359			NA
Interval_2760	chr18	74727693	74728334	+	0	NA	intron (Myo5b, intron 29 of 38)	-intron (Myo5b, intron 29 of 38)	50442	Scarna17	Scarna17	NR_028560			Scarna17			NA
Interval_1615	chr18	47192384	47192945	+	0	NA	Intergenic	Intergenic	176204	Sema6a	Sema6a	NM_018744			Sema6a			NA
Interval_2663	chr18	71601907	71603330	+	0	NA	intron (Dcc, intron 7 of 28)	-intron (Dcc, intron 7 of 28)	748451	Dcc	Dcc	NM_007831			Dcc			NA
Interval_2516	chr18	68195916	68196396	+	0	NA	intron (Ldlrad4, intron 3 of 5)	-intron (Ldlrad4, intron 3 of 5)	64817	Mir7219	Mir7219	NR_106078			Mir7219			NA
Interval_6119	chr19	58064748	58064944	+	0	NA	intron (Atrnl1, intron 28 of 28)	-intron (Atrnl1, intron 28 of 28)	13679	Mir5623	Mir5623	NR_049196			Mir5623			NA
Interval_2430	chr18	66648752	66648983	+	0	NA	Intergenic	Intergenic	144689	Gm9926	Gm9926	NR_040528			Gm9926			NA
Interval_3335	chr18	84868253	84868485	+	0	NA	intron (Cyb5a, intron 1 of 4)	-intron (Cyb5a, intron 1 of 5)	17031	Cyb5a	Cyb5a	NM_001348159			Cyb5a			NA
Interval_5622	chr19	47301590	47303054	+	0	NA	intron (Sh3pxd2a, intron 8 of 14)	-intron (Sh3pxd2a, intron 8 of 13)	-28733	Mir6995	Mir6995	NR_105961			Mir6995			NA
Interval_4112	chr19	12831760	12832007	+	0	NA	intron (Lpxn, intron 7 of 8)	-intron (Lpxn, intron 7 of 8)	-29894	Olfr1444	Olfr1444	NM_146702			Olfr1444			NA
Interval_954	chr18	31788584	31789867	+	0	NA	promoter-TSS (Polr2d)	-promoter-TSS (Polr2d)	100	Polr2d	Polr2d	NM_001357480			Polr2d			NA
Interval_3027	chr18	79013921	79014304	+	0	NA	intron (Setbp1, intron 2 of 5)	-intron (Setbp1, intron 2 of 5)	95279	Setbp1	Setbp1	NM_053099			Setbp1			NA
Interval_2633	chr18	70588787	70589218	+	0	NA	intron (Mbd2, intron 2 of 6)	-intron (Mbd2, intron 2 of 6)	20710	Mbd2	Mbd2	NM_001311071			Mbd2			NA
Interval_4291	chr19	18593046	18593483	+	0	NA	intron (Ostf1, intron 4 of 9)	-intron (Ostf1, intron 4 of 9)	38549	Ostf1	Ostf1	NM_017375			Ostf1			NA
Interval_4040	chr19	10952062	10952540	+	0	NA	Intergenic	Intergenic	-3035	Ccdc86	Ccdc86	NM_023731			Ccdc86			NA
Interval_3487	chr19	3850830	3852500	+	0	NA	promoter-TSS (Chka)	-promoter-TSS (Chka)	-108	Chka	Chka	NR_073190			Chka			NA
Interval_3980	chr19	10333455	10334062	+	0	NA	Intergenic	Intergenic	-28881	Dagla	Dagla	NM_198114			Dagla			NA
